product_category_name,volume_vendas,faturamento_total,nota_media,ticket_medio,perc_faturamento,perc_acumulado,classificacao_abc
beleza_saude,9455,1225862.81,4.190692755156002,129.65233315705976,0.09501003695739824,0.09501003695739824,A (Curva Vital)
relogios_presentes,5820,1152182.67,4.0711340206185564,197.96953092783505,0.08929948536278196,0.1843095223201802,A (Curva Vital)
cama_mesa_banho,10978,1026551.71,3.9226635088358535,93.50990253233739,0.07956250496397745,0.26387202728415765,A (Curva Vital)
esporte_lazer,8432,943269.99,4.166271347248577,111.86788306451612,0.07310778651544593,0.33697981379960357,A (Curva Vital)
informatica_acessorios,7667,888254.66,3.9850006521455588,115.85426633624625,0.06884384401398164,0.4058236578135852,A (Curva Vital)
moveis_decoracao,8158,712364.63,3.9499877420936502,87.32098921304241,0.055211553259734925,0.46103521107332013,A (Curva Vital)
utilidades_domesticas,6778,607057.82,4.108439067571555,89.5629713779876,0.047049788477943624,0.5080849995512637,A (Curva Vital)
cool_stuff,3696,601878.92,4.19534632034632,162.84602813852814,0.04664839977736084,0.5547333993286245,A (Curva Vital)
automotivo,4115,572453.35,4.11591737545565,139.11381530984204,0.04436778201949566,0.5991011813481202,A (Curva Vital)
brinquedos,4005,466943.47000000003,4.20749063670412,116.59012983770288,0.03619027837357736,0.6352914597216975,A (Curva Vital)
ferramentas_jardim,4252,461442.18,4.081138287864534,108.52356067732832,0.03576390295705472,0.6710553626787522,A (Curva Vital)
bebes,2965,393719.7,4.07858347386172,132.78910623946038,0.03051509756451111,0.7015704602432633,B (Intermediários)
perfumaria,3344,389658.85,4.21561004784689,116.52477571770335,0.03020036290951456,0.7317708231527779,B (Intermediários)
telefonia,4407,307924.54,3.99478103017926,69.87169049239846,0.023865575892207586,0.7556363990449855,B (Intermediários)
moveis_escritorio,1664,266533.43,3.5174278846153846,160.17634014423078,0.020657573447947337,0.7762939724929329,B (Intermediários)
papelaria,2459,222989.04,4.244001626677512,90.68281415209435,0.017282681845527847,0.7935766543384607,B (Intermediários)
pet_shop,1917,211003.05,4.217527386541471,110.06940532081377,0.016353712189558754,0.8099303665280194,B (Intermediários)
pcs,193,198380.15,4.212435233160622,1027.8764248704663,0.015375379063105932,0.8253057455911254,B (Intermediários)
instrumentos_musicais,645,177293.45,4.221705426356589,274.8735658914729,0.013741062294568375,0.8390468078856937,B (Intermediários)
eletroportateis,654,168713.72,4.22782874617737,257.97204892966363,0.013076093541348349,0.8521229014270421,B (Intermediários)
eletronicos,2711,151180.26,4.067502766506824,55.76549612689045,0.01171716930529043,0.8638400707323325,B (Intermediários)
fashion_bolsas_e_acessorios,1994,149364.26,4.192577733199599,74.90685055165497,0.011576420906932023,0.8754164916392645,B (Intermediários)
consoles_games,1079,142423.43,4.137164040778498,131.99576459684891,0.011038474483045471,0.88645496612231,B (Intermediários)
construcao_ferramentas_construcao,913,141227.9,4.090909090909091,154.6855421686747,0.010945815379141603,0.8974007815014516,B (Intermediários)
malas_acessorios,1073,138116.85,4.352283317800559,128.72027027027028,0.010704694616634489,0.9081054761180861,C (Cauda Longa)
eletrodomesticos_2,232,108011.7,4.1594827586206895,465.5676724137931,0.008371406265951906,0.916476882384038,C (Cauda Longa)
eletrodomesticos,789,81634.7,4.225602027883396,103.4660329531052,0.006327066781645915,0.922803949165684,C (Cauda Longa)
casa_construcao,593,81274.92,3.959527824620573,137.05720067453626,0.006299182167790525,0.9291031313334746,C (Cauda Longa)
agro_industria_e_comercio,206,70566.1,4.087378640776699,342.55388349514567,0.005469199093281457,0.934572330426756,C (Cauda Longa)
moveis_sala,494,66679.74,3.937246963562753,134.97923076923078,0.005167988220239511,0.9397403186469956,C (Cauda Longa)
casa_conforto,430,57488.25,3.8511627906976744,133.6936046511628,0.004455605237845619,0.9441959238848412,C (Cauda Longa)
telefonia_fixa,253,54755.23,3.758893280632411,216.42383399209487,0.004243783548593697,0.9484397074334349,C (Cauda Longa)
climatizacao,284,52628.66,4.052816901408451,185.31218309859156,0.004078964538958765,0.9525186719723936,C (Cauda Longa)
audio,359,50340.81,3.83008356545961,140.2250974930362,0.0039016455834608135,0.9564203175558544,C (Cauda Longa)
portateis_casa_forno_e_cafe,73,46589.56,4.438356164383562,638.2131506849315,0.003610906360254882,0.9600312239161093,C (Cauda Longa)
moveis_cozinha_area_de_servico_jantar_e_jardim,272,45279.08,4.033088235294118,166.46720588235294,0.0035093380997478756,0.9635405620158571,C (Cauda Longa)
livros_interesse_geral,532,44979.5,4.511278195488722,84.54793233082707,0.0034861192642962175,0.9670266812801533,C (Cauda Longa)
